"Year","Pupil Teacher Ratio","Section"
1950,24,"Primary"
1955,0,"Primary"
1960,36,"Primary"
1965,0,"Primary"
1970,39,"Primary"
1975,0,"Primary"
1980,38,"Primary"
1985,0,"Primary"
1990,43,"Primary"
1991,43,"Primary"
1992,45,"Primary"
1993,50,"Primary"
1994,48,"Primary"
1995,47,"Primary"
1996,45,"Primary"
1997,42,"Primary"
1998,42,"Primary"
1999,43,"Primary"
2000,43,"Primary"
2001,43,"Primary"
2002,42,"Primary"
2003,45,"Primary"
2004,46,"Primary"
2005,46,"Primary"
2006,44,"Primary"
2007,47,"Primary"
2008,45,"Primary"
2009,41,"Primary"
2010,43,"Primary"
1950,20,"Upper Primary"
1955,0,"Upper Primary"
1960,31,"Upper Primary"
1965,0,"Upper Primary"
1970,32,"Upper Primary"
1975,0,"Upper Primary"
1980,33,"Upper Primary"
1985,0,"Upper Primary"
1990,37,"Upper Primary"
1991,38,"Upper Primary"
1992,43,"Upper Primary"
1993,38,"Upper Primary"
1994,39,"Upper Primary"
1995,38,"Upper Primary"
1996,38,"Upper Primary"
1997,37,"Upper Primary"
1998,37,"Upper Primary"
1999,38,"Upper Primary"
2000,38,"Upper Primary"
2001,34,"Upper Primary"
2002,34,"Upper Primary"
2003,35,"Upper Primary"
2004,35,"Upper Primary"
2005,34,"Upper Primary"
2006,34,"Upper Primary"
2007,35,"Upper Primary"
2008,34,"Upper Primary"
2009,33,"Upper Primary"
2010,33,"Upper Primary"
1950,0,"Secondary"
1955,0,"Secondary"
1960,0,"Secondary"
1965,0,"Secondary"
1970,0,"Secondary"
1975,0,"Secondary"
1980,0,"Secondary"
1985,0,"Secondary"
1990,0,"Secondary"
1991,32,"Secondary"
1992,29,"Secondary"
1993,30,"Secondary"
1994,32,"Secondary"
1995,29,"Secondary"
1996,32,"Secondary"
1997,29,"Secondary"
1998,28,"Secondary"
1999,30,"Secondary"
2000,31,"Secondary"
2001,33,"Secondary"
2002,30,"Secondary"
2003,31,"Secondary"
2004,32,"Secondary"
2005,32,"Secondary"
2006,31,"Secondary"
2007,33,"Secondary"
2008,32,"Secondary"
2009,30,"Secondary"
2010,30,"Secondary"
1950,21,"Senior Secondary"
1955,0,"Senior Secondary"
1960,25,"Senior Secondary"
1965,0,"Senior Secondary"
1970,25,"Senior Secondary"
1975,0,"Senior Secondary"
1980,27,"Senior Secondary"
1985,0,"Senior Secondary"
1990,31,"Senior Secondary"
1991,31,"Senior Secondary"
1992,31,"Senior Secondary"
1993,31,"Senior Secondary"
1994,35,"Senior Secondary"
1995,35,"Senior Secondary"
1996,35,"Senior Secondary"
1997,35,"Senior Secondary"
1998,34,"Senior Secondary"
1999,34,"Senior Secondary"
2000,35,"Senior Secondary"
2001,36,"Senior Secondary"
2002,35,"Senior Secondary"
2003,35,"Senior Secondary"
2004,33,"Senior Secondary"
2005,34,"Senior Secondary"
2006,34,"Senior Secondary"
2007,37,"Senior Secondary"
2008,38,"Senior Secondary"
2009,39,"Senior Secondary"
2010,34,"Senior Secondary"
