"STATES/UTs","(GER) IN  HIGHER EDUCATION (18-23)for2010-11","GENDER","CATEGORIES"
"Andaman and Nicobar Islands",1,1,"ALL CATEGORIES"
"Andhra Pradesh",32.1,1,"ALL CATEGORIES"
"Arunachal Pradesh",33.6,1,"ALL CATEGORIES"
"Assam",13.3,1,"ALL CATEGORIES"
"Bihar",11.8,1,"ALL CATEGORIES"
"Chandigarh",42.2,1,"ALL CATEGORIES"
"Chhatisgarh",15.8,1,"ALL CATEGORIES"
"Dadra and Nagar Haveli",3.5,1,"ALL CATEGORIES"
"Daman and Diu",2.7,1,"ALL CATEGORIES"
"Delhi",35,1,"ALL CATEGORIES"
"Goa",31,1,"ALL CATEGORIES"
"Gujarat",23.5,1,"ALL CATEGORIES"
"Haryana",27.2,1,"ALL CATEGORIES"
"Himachal Pradesh",25.9,1,"ALL CATEGORIES"
"Jammu and Kashmir",17,1,"ALL CATEGORIES"
"Jharkhand",8.8,1,"ALL CATEGORIES"
"Karnataka",26.6,1,"ALL CATEGORIES"
"Kerala",18.8,1,"ALL CATEGORIES"
"Lakshadweep",1,1,"ALL CATEGORIES"
"Madhya Pradesh",15.1,1,"ALL CATEGORIES"
"Maharashtra",30.7,1,"ALL CATEGORIES"
"Manipur",38.5,1,"ALL CATEGORIES"
"Meghalaya",15.3,1,"ALL CATEGORIES"
"Mizoram",22,1,"ALL CATEGORIES"
"Nagaland",25.8,1,"ALL CATEGORIES"
"Odisha",18.1,1,"ALL CATEGORIES"
"Puducherry",32.6,1,"ALL CATEGORIES"
"Punjab",23.6,1,"ALL CATEGORIES"
"Rajasthan",20.9,1,"ALL CATEGORIES"
"Sikkim",26,1,"ALL CATEGORIES"
"Tamil Nadu",36.5,1,"ALL CATEGORIES"
"Tripura",16,1,"ALL CATEGORIES"
"Uttar Pradesh",15.2,1,"ALL CATEGORIES"
"Uttrakhand",26.1,1,"ALL CATEGORIES"
"West Bengal",13.8,1,"ALL CATEGORIES"
"All India",20.8,1,"ALL CATEGORIES"
"Andaman and Nicobar Islands",13.4,2,"ALL CATEGORIES"
"Andhra Pradesh",24.4,2,"ALL CATEGORIES"
"Arunachal Pradesh",19.5,2,"ALL CATEGORIES"
"Assam",13.4,2,"ALL CATEGORIES"
"Bihar",9.1,2,"ALL CATEGORIES"
"Chandigarh",40.4,2,"ALL CATEGORIES"
"Chhatisgarh",11.4,2,"ALL CATEGORIES"
"Dadra and Nagar Haveli",3.9,2,"ALL CATEGORIES"
"Daman and Diu",5.6,2,"ALL CATEGORIES"
"Delhi",29.8,2,"ALL CATEGORIES"
"Goa",35.8,2,"ALL CATEGORIES"
"Gujarat",18.8,2,"ALL CATEGORIES"
"Haryana",20.7,2,"ALL CATEGORIES"
"Himachal Pradesh",26,2,"ALL CATEGORIES"
"Jammu and Kashmir",16.7,2,"ALL CATEGORIES"
"Jharkhand",7.5,2,"ALL CATEGORIES"
"Karnataka",24.3,2,"ALL CATEGORIES"
"Kerala",25.1,2,"ALL CATEGORIES"
"Lakshadweep",1,2,"ALL CATEGORIES"
"Madhya Pradesh",11.9,2,"ALL CATEGORIES"
"Maharashtra",24.2,2,"ALL CATEGORIES"
"Manipur",33.3,2,"ALL CATEGORIES"
"Meghalaya",19.8,2,"ALL CATEGORIES"
"Mizoram",21.1,2,"ALL CATEGORIES"
"Nagaland",16.9,2,"ALL CATEGORIES"
"Odisha",14.1,2,"ALL CATEGORIES"
"Puducherry",29.9,2,"ALL CATEGORIES"
"Punjab",14.5,2,"ALL CATEGORIES"
"Rajasthan",15.2,2,"ALL CATEGORIES"
"Sikkim",22.2,2,"ALL CATEGORIES"
"Tamil Nadu",29.1,2,"ALL CATEGORIES"
"Tripura",11,2,"ALL CATEGORIES"
"Uttar Pradesh",17.4,2,"ALL CATEGORIES"
"Uttrakhand",29.6,2,"ALL CATEGORIES"
"West Bengal",10.9,2,"ALL CATEGORIES"
"All India",17.9,2,"ALL CATEGORIES"
