YEAR,Number of Cyclones,month
1951,0,JAN
1952,0,JAN
1953,0,JAN
1954,0,JAN
1955,0,JAN
1956,0,JAN
1957,0,JAN
1958,0,JAN
1959,0,JAN
1960,0,JAN
1961,0,JAN
1962,0,JAN
1963,0,JAN
1964,0,JAN
1965,0,JAN
1966,0,JAN
1967,1,JAN
1968,0,JAN
1969,0,JAN
1970,0,JAN
1971,0,JAN
1972,0,JAN
1973,0,JAN
1974,0,JAN
1975,0,JAN
1976,0,JAN
1977,0,JAN
1978,0,JAN
1979,0,JAN
1980,0,JAN
1981,0,JAN
1982,0,JAN
1983,0,JAN
1984,0,JAN
1985,0,JAN
1986,0,JAN
1987,1,JAN
1988,0,JAN
1989,0,JAN
1990,0,JAN
1991,0,JAN
1992,0,JAN
1993,0,JAN
1994,0,JAN
1995,0,JAN
1996,0,JAN
1997,0,JAN
1998,0,JAN
1999,0,JAN
2000,0,JAN
2001,0,JAN
2002,0,JAN
2003,0,JAN
2004,0,JAN
2005,1,JAN
2006,0,JAN
2007,0,JAN
2008,0,JAN
2009,0,JAN
2010,0,JAN
2011,0,JAN
2012,0,JAN
1951,0,FEB
1952,0,FEB
1953,0,FEB
1954,0,FEB
1955,0,FEB
1956,0,FEB
1957,0,FEB
1958,0,FEB
1959,0,FEB
1960,0,FEB
1961,0,FEB
1962,1,FEB
1963,0,FEB
1964,0,FEB
1965,0,FEB
1966,0,FEB
1967,0,FEB
1968,0,FEB
1969,0,FEB
1970,0,FEB
1971,0,FEB
1972,0,FEB
1973,0,FEB
1974,0,FEB
1975,0,FEB
1976,0,FEB
1977,0,FEB
1978,0,FEB
1979,0,FEB
1980,0,FEB
1981,0,FEB
1982,0,FEB
1983,0,FEB
1984,0,FEB
1985,0,FEB
1986,0,FEB
1987,0,FEB
1988,0,FEB
1989,0,FEB
1990,0,FEB
1991,0,FEB
1992,0,FEB
1993,0,FEB
1994,0,FEB
1995,0,FEB
1996,0,FEB
1997,0,FEB
1998,0,FEB
1999,1,FEB
2000,0,FEB
2001,0,FEB
2002,0,FEB
2003,0,FEB
2004,0,FEB
2005,0,FEB
2006,0,FEB
2007,0,FEB
2008,0,FEB
2009,0,FEB
2010,0,FEB
2011,0,FEB
2012,0,FEB
1951,0,MAR
1952,0,MAR
1953,0,MAR
1954,0,MAR
1955,0,MAR
1956,0,MAR
1957,0,MAR
1958,0,MAR
1959,0,MAR
1960,0,MAR
1961,0,MAR
1962,0,MAR
1963,0,MAR
1964,0,MAR
1965,0,MAR
1966,0,MAR
1967,0,MAR
1968,0,MAR
1969,0,MAR
1970,0,MAR
1971,0,MAR
1972,0,MAR
1973,0,MAR
1974,0,MAR
1975,0,MAR
1976,0,MAR
1977,0,MAR
1978,0,MAR
1979,0,MAR
1980,0,MAR
1981,0,MAR
1982,0,MAR
1983,0,MAR
1984,0,MAR
1985,0,MAR
1986,0,MAR
1987,0,MAR
1988,0,MAR
1989,0,MAR
1990,0,MAR
1991,0,MAR
1992,0,MAR
1993,0,MAR
1994,0,MAR
1995,0,MAR
1996,0,MAR
1997,0,MAR
1998,0,MAR
1999,0,MAR
2000,1,MAR
2001,0,MAR
2002,0,MAR
2003,0,MAR
2004,0,MAR
2005,0,MAR
2006,0,MAR
2007,0,MAR
2008,0,MAR
2009,0,MAR
2010,0,MAR
2011,0,MAR
2012,0,MAR
1951,1,APR
1952,0,APR
1953,1,APR
1954,0,APR
1955,0,APR
1956,1,APR
1957,0,APR
1958,0,APR
1959,0,APR
1960,0,APR
1961,0,APR
